Order_ID,Order_Date,Customer_Name,Email,Phone,City,State,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date,Sales,Net_Amount,Profit,Month,Year,Weekday
ORD1002,30-06-2025,Neha,neha82@gmail.com,9829008196.0,Delhi,Delhi,Chair,Furniture,4.0,1999.0,,UPI,Pending,03-07-2025,7996.0,7996.0,1599.2,June,2025,Monday
ORD1003,03-02-2025,Rohit,rohit45@gmail.com,9280491167.0,Pune,Maharashtra,Watch,Fashion,5.0,4999.0,20.0,Card,Pending,09-02-2025,24995.0,19996.0,3999.2000000000003,February,2025,Monday
ORD1004,06-05-2025,Amit,amit6@gmail.com,9943310925.0,Jaipur,Rajasthan,Mouse,Electronics,3.0,1999.0,5.0,COD,Returned,08-05-2025,5997.0,5697.15,1139.43,May,2025,Tuesday
ORD1007,10-02-2025,Rahul,rahul82@gmail.com,9517780193.0,Mumbai,Maharashtra,Mouse,Electronics,3.0,499.0,20.0,Wallet,Cancelled,18-02-2025,1497.0,1197.6000000000001,239.52000000000004,February,2025,Monday
ORD1008,17-02-2025,Rahul,rahul71@gmail.com,9789375429.0,Lucknow,UP,Mouse,Electronics,4.0,9999.0,,Card,Returned,27-02-2025,39996.0,39996.0,7999.200000000001,February,2025,Monday
ORD1011,11-01-2025,Neha,neha22@gmail.com,9580304152.0,Jaipur,Rajasthan,Chair,Furniture,3.0,999.0,,COD,Pending,16-01-2025,2997.0,2997.0,599.4,January,2025,Saturday
ORD1012,03-03-2025,Vikas,vikas46@gmail.com,9551158398.0,Jaipur,Rajasthan,Shoes,Fashion,3.0,999.0,5.0,COD,Cancelled,09-03-2025,2997.0,2847.15,569.4300000000001,March,2025,Monday
ORD1013,30-04-2025,Rohit,rohit96@gmail.com,9899011969.0,Mumbai,Maharashtra,Shoes,Fashion,-1.0,4999.0,10.0,COD,Cancelled,04-05-2025,-4999.0,-4499.1,-899.8200000000002,April,2025,Wednesday
ORD1016,31-03-2025,Sneha,sneha86@gmail.com,9125254427.0,Pune,Maharashtra,Laptop,Electronics,3.0,4999.0,20.0,NetBanking,Pending,09-04-2025,14997.0,11997.6,2399.52,March,2025,Monday
ORD1017,12-01-2025,Vikas,vikas12@gmail.com,9498228945.0,Jaipur,Rajasthan,Watch,Fashion,1.0,4999.0,10.0,NetBanking,Pending,22-01-2025,4999.0,4499.1,899.8200000000002,January,2025,Sunday
ORD1019,06-03-2025,Vikas,vikas20@gmail.com,9524467082.0,Bengaluru,Karnataka,Chair,Furniture,3.0,1499.0,0.0,COD,Returned,16-03-2025,4497.0,4497.0,899.4000000000001,March,2025,Thursday
ORD1020,15-03-2025,Rahul,rahul90@gmail.com,9106119129.0,Pune,Maharashtra,Watch,Fashion,3.0,999.0,,UPI,Returned,17-03-2025,2997.0,2997.0,599.4,March,2025,Saturday
ORD1022,13-06-2025,Vikas,vikas18@gmail.com,,Pune,Maharashtra,Shoes,Fashion,-1.0,1499.0,,NetBanking,Cancelled,22-06-2025,-1499.0,-1499.0,-299.8,June,2025,Friday
ORD1023,27-04-2025,Neha,neha70@gmail.com,9133995118.0,Mumbai,Maharashtra,Shoes,Fashion,1.0,499.0,5.0,COD,Pending,01-05-2025,499.0,474.04999999999995,94.81,April,2025,Sunday
ORD1026,05-04-2025,Sneha,sneha71@gmail.com,9967773139.0,Bengaluru,Karnataka,Bottle,Home,4.0,9999.0,10.0,Wallet,Returned,08-04-2025,39996.0,35996.4,7199.280000000001,April,2025,Saturday
ORD1028,05-06-2025,Amit,amit15@gmail.com,9853264878.0,Lucknow,UP,Watch,Fashion,3.0,4999.0,,NetBanking,Cancelled,09-06-2025,14997.0,14997.0,2999.4,June,2025,Thursday
ORD1029,06-02-2025,Rahul,rahul82@gmail.com,9689560222.0,Pune,Maharashtra,Bottle,Home,5.0,1499.0,,COD,Delivered,13-02-2025,7495.0,7495.0,1499.0,February,2025,Thursday
ORD1030,25-04-2025,Rahul,rahul52@gmail.com,9882683944.0,Mumbai,Maharashtra,Shoes,Fashion,1.0,9999.0,20.0,UPI,Delivered,01-05-2025,9999.0,7999.200000000001,1599.8400000000001,April,2025,Friday
ORD1031,20-03-2025,Sneha,sneha76gmail.com,9946815525.0,Mumbai,Maharashtra,Shoes,Fashion,5.0,499.0,20.0,Card,Delivered,27-03-2025,2495.0,1996.0,399.20000000000005,March,2025,Thursday
ORD1032,12-04-2025,Neha,neha79@gmail.com,9312273373.0,Pune,Maharashtra,Bottle,Home,1.0,499.0,20.0,UPI,Delivered,21-04-2025,499.0,399.20000000000005,79.84000000000002,April,2025,Saturday
ORD1033,18-02-2025,Amit,amit13@gmail.com,9183234274.0,Bengaluru,Karnataka,Shoes,Fashion,-1.0,499.0,10.0,Card,Pending,28-02-2025,-499.0,-449.1,-89.82000000000001,February,2025,Tuesday
ORD1034,13-05-2025,Amit,amit55@gmail.com,9798448836.0,Pune,Maharashtra,Bottle,Home,4.0,4999.0,,NetBanking,Pending,21-05-2025,19996.0,19996.0,3999.2000000000003,May,2025,Tuesday
ORD1038,15-01-2025,Neha,neha50@gmail.com,9764950042.0,Mumbai,Maharashtra,Laptop,Electronics,-1.0,2599.0,5.0,Wallet,Delivered,22-01-2025,-2599.0,-2469.0499999999997,-493.80999999999995,January,2025,Wednesday
ORD1039,20-03-2025,Rahul,rahul33@gmail.com,9193291098.0,Jaipur,Rajasthan,Laptop,Electronics,1.0,2599.0,15.0,Wallet,Returned,25-03-2025,2599.0,2209.15,441.83000000000004,March,2025,Thursday
ORD1041,25-06-2025,Rahul,rahul11@gmail.com,9940596133.0,Bengaluru,Karnataka,Bottle,Home,5.0,9999.0,,UPI,Returned,29-06-2025,49995.0,49995.0,9999.0,June,2025,Wednesday
ORD1043,16-04-2025,Rahul,rahul61@gmail.com,9157741059.0,Delhi,Delhi,Laptop,Electronics,2.0,2599.0,5.0,COD,Pending,26-04-2025,5198.0,4938.099999999999,987.6199999999999,April,2025,Wednesday
ORD1044,09-06-2025,Rahul,rahul93@gmail.com,,Lucknow,UP,Bottle,Home,-1.0,4999.0,,NetBanking,Delivered,13-06-2025,-4999.0,-4999.0,-999.8000000000001,June,2025,Monday
ORD1047,17-03-2025,Rohit,rohit24@gmail.com,9603990367.0,Jaipur,Rajasthan,Shoes,Fashion,1.0,999.0,20.0,NetBanking,Cancelled,24-03-2025,999.0,799.2,159.84000000000003,March,2025,Monday
ORD1049,15-04-2025,Amit,amit42@gmail.com,9533399379.0,Lucknow,UP,Watch,Fashion,5.0,2599.0,,COD,Returned,23-04-2025,12995.0,12995.0,2599.0,April,2025,Tuesday
ORD1050,15-02-2025,Priya,priya65@gmail.com,9841250922.0,Mumbai,Maharashtra,Chair,Furniture,-1.0,1999.0,15.0,Card,Returned,,-1999.0,-1699.1499999999999,-339.83,February,2025,Saturday
ORD1052,25-02-2025,Sneha,sneha63@gmail.com,9276376917.0,Pune,Maharashtra,Mouse,Electronics,5.0,9999.0,0.0,UPI,Returned,02-03-2025,49995.0,49995.0,9999.0,February,2025,Tuesday
ORD1053,23-05-2025,Sneha,sneha39@gmail.com,9432994066.0,Mumbai,Maharashtra,Laptop,Electronics,1.0,1999.0,,COD,Delivered,29-05-2025,1999.0,1999.0,399.8,May,2025,Friday
